Country,Region,Curriculum Name,Curriculum Year,Subject(s),Grade(s),URL, 
Canada,Alberta,,1989,Ethics,8,https://education.alberta.ca/media/3114965/jhethics.pdf,
Canada,Alberta,,2015,Art,1-6,https://education.alberta.ca/media/482114/elemart.pdf,
Canada,Alberta,,2015,Music,1-6,https://education.alberta.ca/media/482116/elemusic.pdf,
Canada,Alberta,,2015,Drama,1-6,https://education.alberta.ca/media/482115/elemdram.pdf,
Canada,Alberta,,2015,Art,7-9,https://education.alberta.ca/media/482118/jhart.pdf,
Canada,Alberta,,2015,Music,7-9,https://education.alberta.ca/media/482121/jhmusic.pdf,
Canada,Alberta,,2015,Drama,7-9,https://education.alberta.ca/media/482120/jhdrama.pdf,
Canada,Alberta,,2015,General Art Courses,10-12,https://education.alberta.ca/media/482122/shargen.pdf,
Canada,Alberta,,2015,Art,10,https://education.alberta.ca/media/482110/art10.pdf,
Canada,Alberta,,2015,Art,11,https://education.alberta.ca/media/482111/art11.pdf,
Canada,Alberta,,2015,Drama,10-12,https://education.alberta.ca/media/482113/drama10.pdf,
Canada,Alberta,,2015,Choral Music,10-12,https://education.alberta.ca/media/482112/cm10.pdf,
Canada,Alberta,,2015,General Music,10-12,https://education.alberta.ca/media/482117/genmus10.pdf,
Canada,Alberta,,2015,Instrumental Music,10-12,https://education.alberta.ca/media/482119/instmu10.pdf,
Canada,Alberta,,2015,French as a Second Language,4-6,https://education.alberta.ca/media/160306/nine_year.pdf,
Canada,Alberta,,2015,French as a Second Language,7-9,https://education.alberta.ca/media/160306/nine_year.pdf,
Canada,Alberta,,2015,French as a Second Language,10-12,https://education.alberta.ca/media/160336/threey.pdf,
Canada,Alberta,,2015,Health and Life Skills,K-9,https://education.alberta.ca/media/160196/health.pdf,
Canada,Alberta,,2016,Information & Communication Technology,9-12,https://education.alberta.ca/media/3114953/ictpos.pdf,
Canada,Alberta,,2018,Arabic,K-6,https://education.alberta.ca/media/3772294/arabic-language-arts-k-12.pdf,
Canada,Alberta,,2015,Chinese,4-6,https://education.alberta.ca/media/160444/chinese-language-and-culture-nine-year-program-grades-4-5-6.pdf,
Canada,Alberta,,2015,Chinese,K-9,https://education.alberta.ca/media/160446/chinese-language-arts-kindergarten-to-grade-9.pdf,
Canada,Alberta,,2015,German,K-9,https://education.alberta.ca/media/160453/german-language-arts-kindergarten-to-grade-9.pdf,
Canada,Alberta,,2015,Italian,K-6,https://education.alberta.ca/media/160447/italian-language-and-culture-twelve-year-program-kindergarten-to-grade-6.pdf,
Canada,Alberta,,2015,Japanese,4-6,https://education.alberta.ca/media/160448/japanese-language-and-culture-nine-year-program-grades-4-5-6.pdf,
Canada,Alberta,,2015,Punjabi,4-6,https://education.alberta.ca/media/160454/punjabi-language-and-culture-nine-year-program-grades-4-5-6.pdf,
Canada,Alberta,,2015,Spanish,K-6,https://education.alberta.ca/media/160449/spanish-language-arts-kindergarten-to-grade-6.pdf,
Canada,Alberta,,2019,Ukrainian,K-9,https://education.alberta.ca/media/3795902/ukrainian-language-arts-kindergarten-to-grade-9.pdf,
Canada,Alberta,,2018,Arabic,K-12,https://education.alberta.ca/media/3772294/arabic-language-arts-k-12.pdf,
Canada,Alberta,,2015,Spanish,7-9,https://education.alberta.ca/media/371311/spanish-language-arts-grades-7-8-9.pdf,
Canada,Alberta,,2015,Punjabi,7-9,https://education.alberta.ca/media/371315/punjabi-language-and-culture-nine-year-program-grades-7-8-9.pdf,
Canada,Alberta,,2015,Japanese,7-9,https://education.alberta.ca/media/371305/japanese-language-and-culture-six-year-program-grades-7-8-9.pdf,
Canada,Alberta,,2015,Italian,7-9,https://education.alberta.ca/media/371308/italian-language-and-culture-twelve-year-program-grades-7-8-9.pdf,
Canada,Alberta,,2015,Japanese,7-9,https://education.alberta.ca/media/371305/japanese-language-and-culture-six-year-program-grades-7-8-9.pdf,
Canada,Alberta,,2018,Arabic,10-12,https://education.alberta.ca/media/3772294/arabic-language-arts-k-12.pdf,
Canada,Alberta,,2015,Chinese,10-12,https://education.alberta.ca/media/381127/chinese-language-arts-10-20-30.pdf,
Canada,Alberta,,2015,German,10-12,https://education.alberta.ca/media/381134/german-language-arts-10-20-30.pdf,
Canada,Alberta,,2015,Italian,10-12,https://education.alberta.ca/media/381133/italian-language-and-culture-10-12y-20-12y-30-12y.pdf,
Canada,Alberta,,2015,Japanese,10-12,https://education.alberta.ca/media/381137/japanese-language-and-culture-10-9y-20-9y-30-9y.pdf,
Canada,Alberta,,2015,Latin,10-12,https://education.alberta.ca/media/381138/latin.pdf,
Canada,Alberta,,2015,Punjabi,10-12,https://education.alberta.ca/media/381139/punjabi-language-and-culture-nine-year-program-10-9y-20-9y-30-9y.pdf,
Canada,Alberta,,2015,Spanish,10-12,https://education.alberta.ca/media/381146/spanish-language-arts-10-20-30.pdf,
Canada,Alberta,,2015,Ukrainian,10-12,https://education.alberta.ca/media/381143/ukrainian-language-and-culture-10-9y-20-9y-30-9y.pdf,
Canada,Alberta,,,Knowledge and Employability,8-12,https://education.alberta.ca/knowledge-and-employability/ke-courses/,
Canada,Alberta,,2016,Mathematics,K-6,https://education.alberta.ca/media/3115252/2016_k_to_9_math_pos.pdf,
Canada,Alberta,,2015,Mathematics,7-9,https://education.alberta.ca/media/481794/en-lexique-math-juillet2015.pdf,
Canada,Alberta,,2015,Mathematics,10-12,https://education.alberta.ca/media/564028/math10to12.pdf,
Canada,Alberta,,2015,Work Experience,9-12,https://education.alberta.ca/media/160401/workexp.pdf,
Canada,Alberta,,2015,Career Internship,9-12,https://education.alberta.ca/media/160356/carintern.pdf,
Canada,Alberta,,2018,Green Certificate Program,9-12,https://education.alberta.ca/media/3402184/green-certificate-program.pdf,
Canada,Alberta,,2015,Physical Education,K-12,https://education.alberta.ca/media/160191/phys2000.pdf,
Canada,Alberta,,2015,Science,K-6,https://education.alberta.ca/media/159711/elemsci.pdf,
Canada,Alberta,,2017,Science,7-9,https://education.alberta.ca/media/3069389/pos_science_7_9.pdf,
Canada,Alberta,,2016,Science 10,10-12,https://education.alberta.ca/media/3069384/pos_science_10.pdf,
Canada,Alberta,,2016,Science 14,10-12,https://education.alberta.ca/media/3069383/pos_science_14_24.pdf,
Canada,Alberta,,2016,Biology,10-12,https://education.alberta.ca/media/3069386/pos_bio_20_30.pdf,
Canada,Alberta,,2016,Chemistry,10-12,https://education.alberta.ca/media/3069388/pos_chem_20_30.pdf,
Canada,Alberta,,2016,Physics,10-12,https://education.alberta.ca/media/3069387/pos_phys_20_30.pdf,
Canada,Alberta,,2016,Science 20 and 30,10-12,https://education.alberta.ca/media/3069385/pos_science_20_30.pdf,
Canada,Alberta,,2015,Knowledge and Employability Science,10-12,https://education.alberta.ca/media/160494/science-10-4-20-4.pdf,
Canada,Alberta,,2015,Social Sciences,10-12,https://education.alberta.ca/media/159534/social-sciences-20-30-introduction.pdf,
Canada,Alberta,,2015,Anthropology,10-12,https://education.alberta.ca/media/159528/anthropology-30.pdf,
Canada,Alberta,,2015,Economics,10-12,https://education.alberta.ca/media/159526/economics-20-30.pdf,
Canada,Alberta,,2015,Geography,10-12,https://education.alberta.ca/media/159527/geography-20-30.pdf,
Canada,Alberta,,2015,History,10-12,https://education.alberta.ca/media/159529/history-20-30.pdf,
Canada,Alberta,,2015,Philosophy,10-12,https://education.alberta.ca/media/159530/philosophy-20-30.pdf,
Canada,Alberta,,2015,Political Science,10-12,https://education.alberta.ca/media/159531/political-science-20-30.pdf,
Canada,Alberta,,2015,Psychology,10-12,https://education.alberta.ca/media/159533/psychology-20-30.pdf,
Canada,Alberta,,2015,Religious Studies,10-12,https://education.alberta.ca/media/159532/religious-studies-20-30.pdf,
Canada,Alberta,,2015,Sociology,10-12,https://education.alberta.ca/media/159535/sociology-20-30.pdf,
Canada,Alberta,,2015,Social Studies,K-3,https://education.alberta.ca/media/159594/program-of-studies-k-3.pdf,
Canada,Alberta,,2015,Social Studies,4,https://education.alberta.ca/media/159595/program-of-studies-gr-4.pdf,
Canada,Alberta,,2015,Social Studies,5,https://education.alberta.ca/media/159596/program-of-studies-grade-5.pdf,
Canada,Alberta,,2015,Social Studies,6,https://education.alberta.ca/media/159597/program-of-studies-grade-6.pdf,
Canada,Alberta,,2015,Social Studies,7,https://education.alberta.ca/media/160200/program-of-study-grade-7.pdf,
Canada,Alberta,,2015,Social Studies,8,https://education.alberta.ca/media/160201/program-of-study-grade-8.pdf,
Canada,Alberta,,2015,Social Studies,9,https://education.alberta.ca/media/160202/program-of-study-grade-9.pdf,
Canada,Alberta,,2015,Social Studies,10,https://education.alberta.ca/media/160209/program-of-study-grade-10.pdf,
Canada,Alberta,,2015,Social Studies,11,https://education.alberta.ca/media/160210/program-of-study-grade-11.pdf,
Canada,Alberta,,2015,Social Studies,12,https://education.alberta.ca/media/3386090/program-of-study-grade-12.pdf,
Canada,Alberta,,2016,Special Projects,,https://education.alberta.ca/media/3114966/specproj.pdf,
Canada,Manitoba,,2020,Anglais,4-12,https://www.edu.gov.mb.ca/k12/docs/anglais/document_orientation/full_doc.pdf,
Canada,Manitoba,,2017,Arts Education,9-12,https://www.edu.gov.mb.ca/k12/cur/arts/docs/arts_9-12_impl_guide.pdf,
Canada,Manitoba,,2015,Dance,9-12,https://www.edu.gov.mb.ca/k12/cur/arts/docs/dance_9-12.pdf,
Canada,Manitoba,,2015,Dramatic Arts,9-12,https://www.edu.gov.mb.ca/k12/cur/arts/docs/dramatic_arts_9-12.pdf,
Canada,Manitoba,,2015,Music,9-12,https://www.edu.gov.mb.ca/k12/cur/arts/docs/music_9-12.pdf,
Canada,Manitoba,,2015,Visual Arts,9-12,https://www.edu.gov.mb.ca/k12/cur/arts/docs/visual_9-12.pdf,
Canada,Manitoba,,2018,Career Education,9-12,https://www.edu.gov.mb.ca/k12/cur/cardev/pdf/cd_brochure.pdf,
Canada,Manitoba,,2014,Education for Sustainable Development,K-12,https://www.edu.gov.mb.ca/k12/esd/pdfs/esd_mb.pdf,
Canada,Manitoba,,2005,English as Additional Language,K-12,https://www.edu.gov.mb.ca/k12/cur/eal/framework/section7.pdf,
Canada,Manitoba,,2019,English Language Arts,K-8,https://www.edu.gov.mb.ca/k12/cur/ela/framework/full_doc.pdf,
Canada,Manitoba,,1996,English Language Arts - Immersion,K-12,https://www.edu.gov.mb.ca/k12/cur/ela/docs/s1_framework/s1_fulldoc.pdf,
Canada,Manitoba,,2016,Francais arts langagiers - Immersion,K-12,https://www.edu.gov.mb.ca/m12/frpub/ped/fl2/cadre_m-12/docs/document_complet.pdf,
Canada,Manitoba,,2017,French - English Program,K-3,http://www.edu.gov.mb.ca/m12/frpub/ped/fdb/cadre_m-3/docs/doc_complet.pdf,
Canada,Manitoba,,2014,French - English Program,4-12,https://www.edu.gov.mb.ca/m12/frpub/ped/fdb/cadre_4-12/docs/1_document_complet.pdf,
Canada,Manitoba,,2007,Indigenous Education,K-12,https://www.edu.gov.mb.ca/k12/abedu/framework/index.html,
Canada,Manitoba,,2007,Information and Communication Technology (ICT),K-12,https://www.edu.gov.mb.ca/k12/cur/ict/sy_ict_brochure.pdf,
Canada,Manitoba,,2004,Computer Science,K-12,https://www.edu.gov.mb.ca/k12/cur/cs/framework.pdf,
Canada,Manitoba,,2001,International and Heritage languages,K-12,https://education.alberta.ca/media/481786/the-common-curriculum-framework-for-international-languages-alberta-version-kindergarten-to-grade-12.pdf,
Canada,Manitoba,,2000,Aboriginal Language,K-12,https://www.edu.gov.mb.ca/abedu/wncp_ab_lang_culture.pdf,
Canada,Manitoba,,1999,Bilingual Programming,K-12,https://education.alberta.ca/media/481780/the-common-curriculum-framework-for-bilingual-programming-in-international-languages.pdf,
Canada,Manitoba,,2013,Mathematics,K-8,https://www.edu.gov.mb.ca/k12/cur/math/framework_k-8/full_doc.pdf,
Canada,Manitoba,,2014,Mathematics,9-12,https://www.edu.gov.mb.ca/k12/cur/math/framework_9-12/full_doc.pdf,
Canada,Manitoba,,2001,Physical Education/Health Education,K-4,https://www.edu.gov.mb.ca/k12/cur/physhlth/foundation/index.html,
Canada,Manitoba,,2002,Physical Education/Health Education,5-8,https://www.edu.gov.mb.ca/k12/cur/physhlth/foundation/5-8/full_doc.pdf,
Canada,Manitoba,,2000,Physical Education/Health Education,9-12,https://www.edu.gov.mb.ca/k12/cur/physhlth/framework/index.html,
Canada,Manitoba,,2010,Psychology,12,https://www.edu.gov.mb.ca/k12/cur/psych/overview.pdf,
Canada,Manitoba,,1999,Science,K-4,https://www.edu.gov.mb.ca/k12/cur/science/outcomes/k-4/full_doc.pdf,
Canada,Manitoba,,2000,Science,5-8,https://www.edu.gov.mb.ca/k12/cur/science/outcomes/5-8/full_doc.pdf,
Canada,Manitoba,,2000,Science,9,https://www.edu.gov.mb.ca/k12/cur/science/outcomes/s1/full_doc.pdf,
Canada,Manitoba,,2001,Science,10,https://www.edu.gov.mb.ca/k12/cur/science/outcomes/s2/foundations.pdf,
Canada,Manitoba,,2010,Biology,11,https://www.edu.gov.mb.ca/k12/cur/science/found/gr11_bio/gr11_biology.pdf,
Canada,Manitoba,,2011,Biology,12,https://www.edu.gov.mb.ca/k12/cur/science/found/gr12_bio/full_doc.pdf,
Canada,Manitoba,,2006,Chemistry,11,https://www.edu.gov.mb.ca/k12/cur/science/found/gr11_chem/full_doc.pdf,
Canada,Manitoba,,2013,Chemistry,12,https://www.edu.gov.mb.ca/k12/cur/science/found/gr12_chem/full_doc.pdf,
Canada,Manitoba,,2003,Physics,11,https://www.edu.gov.mb.ca/k12/cur/science/found/physics30s/full_doc.pdf,
Canada,Manitoba,,2005,Physics,12,https://www.edu.gov.mb.ca/k12/cur/science/found/physics40s/full_doc.pdf,
Canada,Manitoba,,,Social Studies,K-4,https://www.edu.gov.mb.ca/k12/cur/socstud/framework/k-8framework.pdf,
Canada,Manitoba,,2003,Social Studies,5-8,https://www.edu.gov.mb.ca/k12/cur/socstud/framework/k-8framework.pdf,
Canada,Manitoba,,2007,Social Studies,9,https://www.edu.gov.mb.ca/k12/cur/socstud/foundation_gr9/document.pdf,
Canada,Manitoba,,2006,Social Studies,10,https://www.edu.gov.mb.ca/k12/cur/socstud/frame_found_sr2/s2_full_doc.pdf,
Canada,Manitoba,,,Social Studies,11,https://www.edu.gov.mb.ca/k12/cur/socstud/history_gr11/framework_chart.pdf,
Canada,Manitoba,,2017,Social Studies,12,https://www.edu.gov.mb.ca/k12/cur/socstud/global_issues/full_doc.pdf,
Canada,Manitoba,,2019,Sustainable Tourism,11-12,https://www.edu.gov.mb.ca/k12/cur/tourism/docs/full_doc.pdf,
